show_id,type,title,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Duck the Halls: A Mickey Mouse Christmas Special,26-Nov-21,2016,TV-G,23 min,"Animation, Family",Join Mickey and the gang as they duck the halls!
s2,Movie,Ernest Saves Christmas,26-Nov-21,1988,PG,91 min,Comedy,Santa Claus passes his magic bag to a new St. Nic.
s3,Movie,Ice Age: A Mammoth Christmas,26-Nov-21,2011,TV-G,23 min,"Animation, Comedy, Family",Sid the Sloth is on Santa's naughty list.
s4,Movie,The Queen Family Singalong,26-Nov-21,2021,TV-PG,41 min,Musical,"This is real life, not just fantasy!"
s6,Movie,Becoming Cousteau,24-Nov-21,2021,PG-13,94 min,"Biographical, Documentary",An inside look at the legendary life of adventurer Jacques-Yves Cousteau.
s7,TV Show,Hawkeye,24-Nov-21,2021,TV-14,1 Season,"Action-Adventure, Superhero",Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.
s8,TV Show,Port Protection Alaska,24-Nov-21,2015,TV-14,2 Seasons,"Docuseries, Reality, Survival",Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.
s9,TV Show,Secrets of the Zoo: Tampa,24-Nov-21,2019,TV-PG,2 Seasons,"Animals & Nature, Docuseries, Family",A day in the life at ZooTampa is anything but ordinary. It's extraordinary!
s10,Movie,A Muppets Christmas: Letters To Santa,19-Nov-21,2008,G,45 min,"Comedy, Family, Musical",Celebrate the holiday season with all your favorite Muppets.
s11,Movie,Adventure Thru the Walt Disney Archives,19-Nov-21,2020,TV-PG,59 min,Documentary,Explore the treasures and rich history of the Walt Disney Archives.
s12,Movie,Puppy for Hanukkah,19-Nov-21,2020,TV-G,4 min,"Comedy, Family, Music","Check out Daveed Digg's official music video ""Puppy for Hanukkah!"""
s13,Movie,The Pixar Story,19-Nov-21,2007,G,91 min,"Documentary, Family",A groundbreaking company forever changes the face of filmmaking.
s14,TV Show,"Dr. Oakley, Yukon Vet",17-Nov-21,2013,TV-PG,10 Seasons,"Action-Adventure, Animals & Nature, Docuseries","Meet Dr. Michelle Oakley, vet to pretty much everything that moves in the rugged Yukon."
s15,Movie,America the Beautiful,12-Nov-21,2021,TV-PG,2 min,Animals & Nature,"Epic, grand portrait of the land across four regions on the most extreme continent. Coming in 2022."
s16,Movie,Baymax!,12-Nov-21,2021,TV-G,1 min,Animation,“Baymax!” premieres on Disney+ summer 2022.
s17,Movie,Ciao Alberto,12-Nov-21,2021,TV-PG,8 min,"Animation, Comedy, Family",Fun-loving sea monster Alberto whole-heartedly wants to prove himself to his stoic mentor Massimo.
s18,TV Show,Disney Fancy Nancy,12-Nov-21,2018,TV-PG,3 Seasons,"Animation, Kids",Nancy makes every day extraordinary!
s19,TV Show,Disney Intertwined,12-Nov-21,2021,TV-PG,1 Season,"Comedy, Coming of Age, Drama",Allegra is ready to change the past in order to reach her dream.
